facet	reference_apks	reference_contract	current_resolution	status	evidence
application-backup	BOTH	oldはallowBackup=true、1.apkはfalse	1.apkに合わせ自動OSバックアップを禁止しアプリ内の明示バックアップだけを使用	MATCH	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#applicationDataIsExcludedFromAutomaticOsBackup
application-class	FINAL_ONLY	MyApplicationで起動初期化	FutachaApplicationで共有Store・network・workerを初期化	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#appContext_usesExpectedPackageAndApplicationClass
application-cleartext	BOTH	usesCleartextTraffic=true	全体許可を廃止し2chanと参照メディア4ホストだけをnetwork security configで許可	FIXED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#networkPolicyAllowsOnlyReferenceHttpMediaHosts
application-component-factory	FINAL_ONLY	AndroidX component factoryとstartup provider	現行AndroidXがmerged manifestへ必要componentを生成し独自Application初期化と共存	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
application-data-extraction	FINAL_ONLY	dataExtractionRulesを宣言	現行dataExtractionRulesとbackupRulesで全データ除外	MATCH	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#applicationDataIsExcludedFromAutomaticOsBackup
application-large-heap	BOTH	largeHeap=true	largeHeapへ依存せず画像cache・parser・保存走査を上限付きに置換	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
application-resources	BOTH	AppTheme・label・launcher icon	Compose theme・共通label・切替可能なlauncher alias iconへ対応	MATCH	app-android/src/androidTest/java/com/valoser/futacha/MainActivitySmokeTest.kt#launch_showsBoardManagementAndMenuActions
application-rtl	FINAL_ONLY	supportsRtl=true	現行ApplicationもsupportsRtl=true	MATCH	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRetainsReferenceCapabilitiesWithModernSecurityBoundaries
cache-clean-services	BOTH	ImageCacheClean・ThreadCacheClean・ThreadTabClean Service	上限付きcacheとWorkManager／DB maintenanceへ置換しtab・history境界を維持	SUPERSEDED	app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadCacheCleanServiceContractEvictsOnlyUnprotectedLruBodiesAndKeepsMetadata;app-android/src/androidTest/java/com/valoser/futacha/CompatibilitySnapshotCacheInstrumentedTest.kt#threadTabAndHistoryCleanServicesUseReferenceTriggerAndTrimBoundaries
deep-link-thread	BOTH	oldはhttp、1.apkはhttpとhttpsの2chanスレURL	両schemeをMainActivityへ限定routingし類似hostを拒否	FIXED	app-android/src/androidTest/java/com/valoser/futacha/ExampleInstrumentedTest.kt#manifestRoutesBothReferenceFutabaThreadSchemesIntoMainActivityOnly
