facet	scope	reference_contract	current_resolution	status	evidence
compat-base-six	TOSHIAKI_COMPAT	old.apk／1.apkのDefault・Mono・Futaba・Blue・Pink・Blackのprimary・dark・accent・background・text	6パレットの全基底色を参照resource値へ固定	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#baseColorsMatchTheReferenceApkResources
compat-black-dialog-menu	TOSHIAKI_COMPAT	Blackは黒body・濃灰menu・Material dark dialog・明色text	menu・popup・dialogを黒テーマ専用surfaceとcontentへ統一	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#popupColorsFollowBlackThemeWithoutChangingLegacyLightPopup
compat-closed-thread-undo	TOSHIAKI_COMPAT	1.apkのclosedThreadUndoActionはMono薄灰・Futaba黄橙・他4テーマ黄	ルート・カタログ・drawerの全「元に戻す」をテーマ属性へ接続	FIXED	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#closedThreadUndoActionUsesEveryFinalApkThemeAttribute
compat-day-night-isolation	TOSHIAKI_COMPAT	6カスタムthemeはvalues-nightに上書きがなく手動選択色を維持	端末night Material色を互換paletteへ混入させず選択テーマを維持	MATCH	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#compatibilityStartupWaitsForPreferencesBeforePaintingSelectedPalette
compat-loading	TOSHIAKI_COMPAT	6テーマ別loading icon／progress artwork色	アイコン型・progress型を各参照dominant色で描画	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#loadingArtworkUsesTheDedicatedColorsFromBothReferenceApks
compat-popup	TOSHIAKI_COMPAT	lightテーマは白popupと濃色文字、Blackは濃灰popupと明色文字	全overflow・dropdownへCompatibilityPaletteのmenu色を適用	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#popupColorsFollowBlackThemeWithoutChangingLegacyLightPopup
compat-search	TOSHIAKI_COMPAT	6テーマ別検索結果背景・検索文字highlight・file名色	検索結果背景・inline highlight・file名をtheme branchで解決	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#searchHighlightsMatchEveryTargetThemeBranch
compat-system-bars	TOSHIAKI_COMPAT	status barは各primaryDark、Blackもlight icon	palette chromeの輝度と参照dark色からstatus／navigation barとicon contrastを解決	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#statusBarIconContrastUsesChromeRatherThanPostTextColor;shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#baseColorsMatchTheReferenceApkResources
compat-text-override	TOSHIAKI_COMPAT	選択テーマとは別に白・薄灰・濃灰・黒の本文文字設定	本文だけへraw text色を適用しmenu／dialogのcontrastはpalette固有値を維持	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#searchHighlightsMatchEveryTargetThemeBranch
compat-thread-body	TOSHIAKI_COMPAT	本文・通常link・引用・消滅間近・IP・削除済み色	全6テーマのbody tokenを参照HTML span／resource値へ固定	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#threadHeaderAndBodyColorsMatchBothReferenceApks
compat-thread-header	TOSHIAKI_COMPAT	題名・名前・mail・日時・No.・ID／IP合計・file名・そうだね色	全6テーマのheader tokenとsaidane閾値色を参照helper値へ固定	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#threadHeaderAndBodyColorsMatchBothReferenceApks
compat-thread-identity	TOSHIAKI_COMPAT	自分の投稿は青、自分宛返信はpink、引用追加はgreen	投稿番号分類と実画面pixelを別々に固定	MATCH	shared/src/commonTest/kotlin/compat/CompatibilityThemeTest.kt#selfPostAndSelfQuoteClassificationMatchesReferenceHeaderPositions;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt#blackThreadRendersOwnPostSelfQuoteUrlAndQuoteWithReferenceColors
futacha-black-chrome	FUTACHA	Black paletteは昼夜とも黒chromeと明色bar content	上・下・system barを全て黒へ固定し明色iconを使用	MATCH	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt#futabaBlackAlwaysUsesBlackChromeAndLightChromeContent
futacha-classic-thread	FUTACHA	Futaba Classicの日中はlegacy beige、夜間は専用dark surface	夜間に日中色を強制せずclassicの昼夜thread surfaceを分離	MATCH	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt#classicThreadKeepsLegacyDayColorsButNeverForcesThemIntoNightMode
futacha-day-night-mode	FUTACHA	端末追従・固定日中・固定夜間を選択可能	SystemだけOS nightへ追従しLight／Darkは固定	MATCH	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt#systemModeFollowsDayNightWhileExplicitModesRemainFixed
futacha-palette-branches	FUTACHA	Current・FutabaClassic・FutabaBlack・Midnightごとに独立した昼夜色	全4パレット×2明暗branchを独立定数として保持	MATCH	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt#everyPaletteHasIndependentLightAndDarkColorContracts
futacha-thread-readability	FUTACHA	本文・footer・題名・名前・引用・linkが各surface上で判読可能	4パレット×昼夜の全thread tokenへ最低contrast契約を適用	MATCH	shared/src/commonTest/kotlin/ui/theme/FutachaThemeContractTest.kt#everyPaletteThreadHeaderBodyQuoteAndLinkTokensRemainReadableInDayAndNight
ios-cross-screen-inheritance	BOTH	iOSでもスレから設定へ移動して選択themeを維持	小型／標準Simulatorで共通Compose paletteの画面継承を検査	MATCH	iosApp/iosAppUITests/IosAppUITests.swift#testLightClassicThemeReachesSettingsFromThread
